GEOID,source
35059,2
35023,3
51660,3
51025,3
33001,3
32007,3
32023,3
31001,3
31185,3
31159,3
31129,1
1037,3
51135,3
53059,1
53023,1
35001,3
35029,3
35006,3
35019,3
31149,0
31033,2
31021,2
31087,1
31105,1
31139,2
31175,1
31125,1
21163,3
51590,3
20037,3
21213,3
23029,3
21141,3
21157,3
25001,3
31037,1
31137,2
31027,1
31119,3
31051,1
31019,3
31045,1
37097,3
37001,3
37169,3
32029,1
19019,0
19183,0
19153,0
19127,0
19049,0
19023,0
19041,0
18093,0
37197,3
37049,3
37073,3
37005,3
53003,3
25003,3
18037,0
18127,0
19057,0
19145,0
18109,0
18001,0
19055,0
19009,0
18133,0
18041,0
19137,0
20121,3
20087,3
18119,0
18177,0
18141,0
18017,0
19079,0
19191,0
19017,0
19171,0
19015,0
19087,0
18149,0
26157,3
26149,3
13063,0
13023,2
13235,2
72143,0
72019,0
28005,2
28131,3
28117,3
26101,3
2060,2
38007,0
13199,3
13197,1
72099,0
72139,0
28027,3
28101,2
28069,2
13101,1
32017,1
31171,1
13193,2
72053,0
16063,2
16071,1
31165,0
23019,3
51640,2
13211,3
13287,2
72057,0
4011,0
16067,3
51125,2
51111,3
51600,3
51620,3
8039,0
8095,0
8119,0
8007,0
37077,3
37191,3
4023,0
27005,0
27095,0
27115,0
27113,0
51775,3
51735,2
51530,3
2220,3
2180,3
2105,3
8115,0
8017,0
8079,0
37157,3
37045,3
27029,0
27039,0
27041,0
13253,2
13281,1
13243,2
34037,0
19181,0
19155,0
27079,0
27169,0
13125,1
12051,3
29181,3
35028,3
35027,3
35041,3
19103,0
19113,0
19061,0
27161,0
27049,0
29097,3
29510,3
35005,3
35057,3
1103,3
37003,3
19169,0
19027,0
19179,0
27025,0
27033,0
27051,0
29067,2
29091,3
29081,2
51049,2
13159,1
19059,0
19033,0
19123,0
38001,2
38009,2
29107,3
29167,3
13055,2
13111,2
26113,3
26051,3
18165,0
38029,1
29185,1
29173,2
29053,3
13257,2
13119,2
18181,0
18135,0
18101,0
21201,2
22049,3
29007,3
29177,2
29229,2
13297,3
13065,1
18115,0
18161,0
56027,0
48345,0
22007,3
38073,2
38091,1
29199,1
29065,2
29163,2
29075,1
13015,3
13081,3
48129,1
48173,0
48359,1
48505,2
38043,2
54087,3
28085,3
28003,3
28043,3
29051,3
29001,3
26117,3
13085,2
13227,2
13131,2
72059,0
72005,0
28129,2
28153,3
28159,3
28067,3
26127,3
26005,3
26155,3
13233,3
13011,1
13047,3
72063,0
72121,0
48497,3
48463,3
48479,3
48203,3
48095,0
47067,2
21143,2
20067,2
