type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,51001990100,03/2022,0,0,2023-01-07
Census Tract,51001990100,04/2022,0,0,2023-01-07
Census Tract,51001990100,05/2022,0,0,2023-01-07
Census Tract,51001990100,06/2022,0,0,2023-01-07
Census Tract,51001990100,07/2022,0,0,2023-01-07
Census Tract,51001990100,08/2022,0,0,2023-01-07
Census Tract,51001990100,09/2022,0,0,2023-01-07
Census Tract,51001990100,10/2022,0,0,2023-01-07
Census Tract,51001990100,11/2022,0,0,2023-01-07
Census Tract,51001990100,12/2022,0,0,2023-01-07
Census Tract,51001990100,01/2023,0,0,2023-01-07
Census Tract,51001990200,01/2020,0,0,2023-01-07
Census Tract,51001990200,02/2020,0,0,2023-01-07
Census Tract,51001990200,03/2020,0,0,2023-01-07
Census Tract,51001990200,04/2020,0,0,2023-01-07
Census Tract,51001990200,05/2020,0,0,2023-01-07
Census Tract,51001990200,06/2020,0,0,2023-01-07
Census Tract,51001990200,07/2020,0,0,2023-01-07
Census Tract,51001990200,08/2020,0,0,2023-01-07
Census Tract,51001990200,09/2020,0,0,2023-01-07
Census Tract,51001990200,10/2020,0,0,2023-01-07
Census Tract,51001990200,11/2020,0,0,2023-01-07
Census Tract,51001990200,12/2020,0,0,2023-01-07
Census Tract,51001990200,01/2021,0,0,2023-01-07
Census Tract,51001990200,02/2021,0,0,2023-01-07
Census Tract,51001990200,03/2021,0,0,2023-01-07
Census Tract,51001990200,04/2021,0,0,2023-01-07
Census Tract,51001990200,05/2021,0,0,2023-01-07
Census Tract,51001990200,06/2021,0,0,2023-01-07
Census Tract,51001990200,07/2021,0,0,2023-01-07
Census Tract,51001990200,08/2021,0,0,2023-01-07
Census Tract,51001990200,09/2021,0,0,2023-01-07
Census Tract,51001990200,10/2021,0,0,2023-01-07
Census Tract,51001990200,11/2021,0,0,2023-01-07
Census Tract,51001990200,12/2021,0,0,2023-01-07
Census Tract,51001990200,01/2022,0,0,2023-01-07
Census Tract,51001990200,02/2022,0,0,2023-01-07
Census Tract,51001990200,03/2022,0,0,2023-01-07
Census Tract,51001990200,04/2022,0,0,2023-01-07
Census Tract,51001990200,05/2022,0,0,2023-01-07
Census Tract,51001990200,06/2022,0,0,2023-01-07
Census Tract,51001990200,07/2022,0,0,2023-01-07
Census Tract,51001990200,08/2022,0,0,2023-01-07
Census Tract,51001990200,09/2022,0,0,2023-01-07
Census Tract,51001990200,10/2022,0,0,2023-01-07
Census Tract,51001990200,11/2022,0,0,2023-01-07
Census Tract,51001990200,12/2022,0,0,2023-01-07
Census Tract,51001990200,01/2023,0,0,2023-01-07
Census Tract,51003010100,01/2020,0,0,2023-01-07
Census Tract,51003010100,02/2020,0,0,2023-01-07
Census Tract,51003010100,03/2020,0,0,2023-01-07
Census Tract,51003010100,04/2020,0,0,2023-01-07
Census Tract,51003010100,05/2020,0,0,2023-01-07
Census Tract,51003010100,06/2020,0,0,2023-01-07
Census Tract,51003010100,07/2020,0,0,2023-01-07
Census Tract,51003010100,08/2020,0,0,2023-01-07
Census Tract,51003010100,09/2020,0,0,2023-01-07
Census Tract,51003010100,10/2020,0,0,2023-01-07
Census Tract,51003010100,11/2020,0,0,2023-01-07
Census Tract,51003010100,12/2020,0,0,2023-01-07
Census Tract,51003010100,01/2021,0,0,2023-01-07
Census Tract,51003010100,02/2021,0,0,2023-01-07
Census Tract,51003010100,03/2021,0,0,2023-01-07
Census Tract,51003010100,04/2021,0,0,2023-01-07
Census Tract,51003010100,05/2021,0,0,2023-01-07
Census Tract,51003010100,06/2021,0,0,2023-01-07
Census Tract,51003010100,07/2021,0,0,2023-01-07
Census Tract,51003010100,08/2021,0,0,2023-01-07
Census Tract,51003010100,09/2021,0,0,2023-01-07
Census Tract,51003010100,10/2021,0,0,2023-01-07
Census Tract,51003010100,11/2021,0,0,2023-01-07
Census Tract,51003010100,12/2021,0,0,2023-01-07
Census Tract,51003010100,01/2022,0,0,2023-01-07
Census Tract,51003010100,02/2022,0,0,2023-01-07
Census Tract,51003010100,03/2022,0,0,2023-01-07
Census Tract,51003010100,04/2022,0,0,2023-01-07
Census Tract,51003010100,05/2022,0,0,2023-01-07
Census Tract,51003010100,06/2022,0,0,2023-01-07
Census Tract,51003010100,07/2022,0,0,2023-01-07
Census Tract,51003010100,08/2022,0,0,2023-01-07
Census Tract,51003010100,09/2022,0,0,2023-01-07
Census Tract,51003010100,10/2022,0,0,2023-01-07
Census Tract,51003010100,11/2022,0,0,2023-01-07
Census Tract,51003010100,12/2022,0,0,2023-01-07
Census Tract,51003010100,01/2023,0,0,2023-01-07
Census Tract,51003010201,01/2020,0,0,2023-01-07
Census Tract,51003010201,02/2020,0,0,2023-01-07
Census Tract,51003010201,03/2020,0,0,2023-01-07
Census Tract,51003010201,04/2020,0,0,2023-01-07
Census Tract,51003010201,05/2020,0,0,2023-01-07
Census Tract,51003010201,06/2020,0,0,2023-01-07
Census Tract,51003010201,07/2020,0,0,2023-01-07
Census Tract,51003010201,08/2020,0,0,2023-01-07
Census Tract,51003010201,09/2020,0,0,2023-01-07
Census Tract,51003010201,10/2020,0,0,2023-01-07
Census Tract,51003010201,11/2020,0,0,2023-01-07
Census Tract,51003010201,12/2020,0,0,2023-01-07
Census Tract,51003010201,01/2021,0,0,2023-01-07
Census Tract,51003010201,02/2021,0,0,2023-01-07
Census Tract,51003010201,03/2021,0,0,2023-01-07
