type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,10001040502,5,2020-01-26,8,5,2021-07-24
Census Tract,10001040502,6,2020-02-02,0,1.25,2021-07-24
Census Tract,10001040502,7,2020-02-09,0,0.75,2021-07-24
Census Tract,10001040502,8,2020-02-16,0,0.25,2021-07-24
Census Tract,10001040502,9,2020-02-23,1,2.5,2021-07-24
Census Tract,10001040502,10,2020-03-01,1,0,2021-07-24
Census Tract,10001040502,11,2020-03-08,0,0.75,2021-07-24
Census Tract,10001040502,12,2020-03-15,0,0.5,2021-07-24
Census Tract,10001040502,13,2020-03-22,0,1.5,2021-07-24
Census Tract,10001040502,14,2020-03-29,0,1.75,2021-07-24
Census Tract,10001040502,15,2020-04-05,0,0,2021-07-24
