type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg
Zip Code,10010,White,17,2020-04-19,0,7
Zip Code,10010,White,18,2020-04-26,0,4
Zip Code,10010,White,19,2020-05-03,0,3.33333333333333
Zip Code,10010,White,20,2020-05-10,0,2.66666666666667
Zip Code,10010,White,21,2020-05-17,0,7
Zip Code,10010,White,22,2020-05-24,0,6.66666666666667
Zip Code,10010,White,23,2020-05-31,0,3.66666666666667
Zip Code,10010,White,24,2020-06-07,0,3.66666666666667
Zip Code,10010,White,25,2020-06-14,0,4.66666666666667
Zip Code,10010,White,26,2020-06-21,0,7.33333333333333
Zip Code,10010,White,27,2020-06-28,0,5
Zip Code,10010,White,28,2020-07-05,0,5.33333333333333
Zip Code,10010,White,29,2020-07-12,0,6.66666666666667
Zip Code,10010,White,30,2020-07-19,2,5
Zip Code,10010,White,31,2020-07-26,0,3.66666666666667
Zip Code,10010,White,32,2020-08-02,3,5.33333333333333
Zip Code,10010,White,33,2020-08-09,0,5
Zip Code,10010,White,34,2020-08-16,1,6.33333333333333
Zip Code,10010,White,35,2020-08-23,0,3.66666666666667
Zip Code,10010,White,36,2020-08-30,5,2
Zip Code,10010,White,37,2020-09-06,2,6.66666666666667
Zip Code,10010,White,38,2020-09-13,0,3.66666666666667
Zip Code,10010,White,39,2020-09-20,4,4
Zip Code,10010,White,40,2020-09-27,2,5.33333333333333
Zip Code,10010,White,41,2020-10-04,3,4.33333333333333
Zip Code,10010,White,42,2020-10-11,1,4.33333333333333
Zip Code,10010,White,43,2020-10-18,1,10
Zip Code,10010,White,44,2020-10-25,3,8.33333333333333
Zip Code,10010,White,45,2020-11-01,2,6.66666666666667
Zip Code,10010,White,46,2020-11-08,1,4.66666666666667
Zip Code,10010,White,47,2020-11-15,3,5.33333333333333
Zip Code,10010,White,48,2020-11-22,0,3.66666666666667
Zip Code,10010,White,49,2020-11-29,0,5.66666666666667
Zip Code,10011,White,1,2019-12-29,3,3.66666666666667
Zip Code,10011,White,2,2020-01-05,7,15.6666666666667
