type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,47157000700,Black,04/2022,27,30.25,2025-03-15
Census Tract,47157000700,Black,05/2022,36,31.5,2025-03-15
Census Tract,47157000700,Black,06/2022,40,50.25,2025-03-15
Census Tract,47157000700,Black,07/2022,37,30.5,2025-03-15
Census Tract,47157000700,Black,08/2022,11,49.25,2025-03-15
Census Tract,47157000700,Black,09/2022,74,35.5,2025-03-15
Census Tract,47157000700,Black,10/2022,15,36.5,2025-03-15
Census Tract,47157000700,Black,11/2022,47,30.5,2025-03-15
Census Tract,47157000700,Black,12/2022,10,20.5,2025-03-15
Census Tract,47157000700,Black,01/2023,58,39.25,2025-03-15
Census Tract,47157000700,Black,02/2023,7,32.5,2025-03-15
Census Tract,47157000700,Black,03/2023,33,41,2025-03-15
Census Tract,47157000700,Black,04/2023,22,30.25,2025-03-15
Census Tract,47157000700,Black,05/2023,59,31.5,2025-03-15
Census Tract,47157000700,Black,06/2023,20,50.25,2025-03-15
Census Tract,47157000700,Black,07/2023,25,30.5,2025-03-15
Census Tract,47157000700,Black,08/2023,17,49.25,2025-03-15
Census Tract,47157000700,Black,09/2023,31,35.5,2025-03-15
Census Tract,47157000700,Black,10/2023,30,36.5,2025-03-15
Census Tract,47157000700,Black,11/2023,11,30.5,2025-03-15
Census Tract,47157000700,Black,12/2023,15,20.5,2025-03-15
Census Tract,47157000700,Black,01/2024,36,39.25,2025-03-15
Census Tract,47157000700,Black,02/2024,37,32.5,2025-03-15
Census Tract,47157000700,Black,03/2024,36,41,2025-03-15
Census Tract,47157000700,Black,04/2024,31,30.25,2025-03-15
Census Tract,47157000700,Black,05/2024,31,31.5,2025-03-15
Census Tract,47157000700,Black,06/2024,39,50.25,2025-03-15
Census Tract,47157000700,Black,07/2024,49,30.5,2025-03-15
Census Tract,47157000700,Black,08/2024,45,49.25,2025-03-15
Census Tract,47157000700,Black,09/2024,39,35.5,2025-03-15
Census Tract,47157000700,Black,10/2024,21,36.5,2025-03-15
Census Tract,47157000700,Black,11/2024,28,30.5,2025-03-15
Census Tract,47157000700,Black,12/2024,30,20.5,2025-03-15
Census Tract,47157000700,Black,01/2025,12,39.25,2025-03-15
Census Tract,47157000700,Black,02/2025,17,32.5,2025-03-15
Census Tract,47157000700,Black,03/2025,28,20.75,2025-03-15
Census Tract,47157000800,Black,01/2020,3,5.75,2025-03-15
