type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,45045000800,Black,09/2025,4,3,8.25,
Census Tract,45045000800,Black,10/2025,2,4.5,7,
Census Tract,45045000800,Black,11/2025,0,0.5,4.75,2025-11-15
Census Tract,45045000900,Black,01/2020,8,6.5,7.25,
Census Tract,45045000900,Black,02/2020,1,3.5,6.5,
Census Tract,45045000900,Black,03/2020,4,1.5,2.5,
Census Tract,45045000900,Black,04/2020,0,4,5.25,
Census Tract,45045000900,Black,05/2020,4,3,1.75,
Census Tract,45045000900,Black,06/2020,4,4.5,3.25,
Census Tract,45045000900,Black,07/2020,4,1.5,7,
Census Tract,45045000900,Black,08/2020,0,2.5,4,
Census Tract,45045000900,Black,09/2020,2,1.5,5,
Census Tract,45045000900,Black,10/2020,2,2,6.75,
Census Tract,45045000900,Black,11/2020,4,2.5,4.5,
Census Tract,45045000900,Black,12/2020,3,5.5,4.75,
Census Tract,45045000900,Black,01/2021,0,6.5,7.25,
Census Tract,45045000900,Black,02/2021,3,3.5,6.5,
Census Tract,45045000900,Black,03/2021,3,1.5,2.5,
Census Tract,45045000900,Black,04/2021,2,4,5.25,
Census Tract,45045000900,Black,05/2021,3,3,1.75,
Census Tract,45045000900,Black,06/2021,4,4.5,3.25,
Census Tract,45045000900,Black,07/2021,10,1.5,7,
Census Tract,45045000900,Black,08/2021,5,2.5,4,
Census Tract,45045000900,Black,09/2021,0,1.5,5,
Census Tract,45045000900,Black,10/2021,4,2,6.75,
Census Tract,45045000900,Black,11/2021,6,2.5,4.5,
Census Tract,45045000900,Black,12/2021,3,5.5,4.75,
Census Tract,45045000900,Black,01/2022,2,6.5,7.25,
Census Tract,45045000900,Black,02/2022,2,3.5,6.5,
Census Tract,45045000900,Black,03/2022,1,1.5,2.5,
Census Tract,45045000900,Black,04/2022,7,4,5.25,
Census Tract,45045000900,Black,05/2022,3,3,1.75,
Census Tract,45045000900,Black,06/2022,3,4.5,3.25,
