type,xcourtcofips,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,12086,12086001701,Latinx,07/2022,1,4.5,2024-03-30
Census Tract,12086,12086001701,Latinx,09/2022,1,2.5,2024-03-30
Census Tract,12086,12086001701,Latinx,11/2022,1,3.33333333333333,2024-03-30
Census Tract,12086,12086001701,Latinx,01/2023,1,2.5,2024-03-30
Census Tract,12086,12086001701,Latinx,02/2023,1,1.83333333333333,2024-03-30
Census Tract,12086,12086001701,Latinx,07/2023,1,4.5,2024-03-30
Census Tract,12086,12086001702,Latinx,01/2023,1,3.66666666666667,2024-03-30
Census Tract,12086,12086001801,Black,02/2023,2,4.83333333333333,2024-03-30
Census Tract,12086,12086001801,Black,04/2023,1,3.33333333333333,2024-03-30
Census Tract,12086,12086001801,Black,06/2023,1,4.83333333333333,2024-03-30
Census Tract,12086,12086001801,Black,11/2023,1,2.33333333333333,2024-03-30
Census Tract,12086,12086001802,Latinx,02/2023,1,2.83333333333333,2024-03-30
Census Tract,12086,12086001802,Latinx,03/2023,1,2.5,2024-03-30
Census Tract,12086,12086001802,Latinx,05/2023,1,2.83333333333333,2024-03-30
Census Tract,12086,12086001802,Latinx,06/2023,1,4.5,2024-03-30
Census Tract,12086,12086001802,Latinx,07/2023,1,1.83333333333333,2024-03-30
Census Tract,12086,12086001802,Latinx,09/2023,1,3,2024-03-30
Census Tract,12086,12086001803,Black,10/2022,1,7.83333333333333,2024-03-30
Census Tract,12086,12086001803,Black,02/2023,1,6.16666666666667,2024-03-30
Census Tract,12086,12086001901,Black,11/2022,1,5.33333333333333,2024-03-30
Census Tract,12086,12086001901,Black,12/2022,1,7.83333333333333,2024-03-30
Census Tract,12086,12086001901,Black,11/2023,1,5.33333333333333,2024-03-30
Census Tract,12086,12086001903,Black,12/2023,1,7.33333333333333,2024-03-30
Census Tract,12086,12086001904,Black,05/2021,1,3.66666666666667,2024-03-30
Census Tract,12086,12086001904,Black,10/2023,1,4,2024-03-30
Census Tract,12086,12086002001,Black,10/2020,1,5.5,2024-03-30
Census Tract,12086,12086002001,Black,10/2022,1,5.5,2024-03-30
Census Tract,12086,12086002003,Black,09/2020,1,3.33333333333333,2024-03-30
Census Tract,12086,12086002003,Black,08/2023,1,5.16666666666667,2024-03-30
Census Tract,12086,12086002003,Black,12/2023,2,3.83333333333333,2024-03-30
Census Tract,12086,12086002201,Latinx,12/2020,1,8.16666666666667,2024-03-30
Census Tract,12086,12086002201,Latinx,10/2023,1,6.16666666666667,2024-03-30
Census Tract,12086,12086002202,Black,01/2023,1,2,2024-03-30
Census Tract,12086,12086002202,Black,09/2023,1,2.83333333333333,2024-03-30
Census Tract,12086,12086002402,Latinx,12/2022,1,4,2024-03-30
Census Tract,12086,12086002402,Latinx,05/2023,1,4,2024-03-30
Census Tract,12086,12086002402,Latinx,06/2023,1,2.66666666666667,2024-03-30
Census Tract,12086,12086002403,Latinx,06/2023,1,2.33333333333333,2024-03-30
Census Tract,12086,12086002404,Latinx,10/2022,1,3.83333333333333,2024-03-30
Census Tract,12086,12086002501,Latinx,10/2022,1,2.16666666666667,2024-03-30
Census Tract,12086,12086002501,Latinx,12/2022,1,2.33333333333333,2024-03-30
