type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,51005,White,43,2020-10-18,6,3.75,2023-04-08
County,51005,White,44,2020-10-25,0,7.75,2023-04-08
County,51005,White,45,2020-11-01,2,2.5,2023-04-08
County,51005,White,46,2020-11-08,5,2.25,2023-04-08
County,51005,White,47,2020-11-15,1,3,2023-04-08
County,51005,White,48,2020-11-22,0,4.5,2023-04-08
County,51005,White,49,2020-11-29,0,5.5,2023-04-08
County,51005,White,50,2020-12-06,0,3,2023-04-08
County,51005,White,51,2020-12-13,1,3.25,2023-04-08
County,51005,White,52,2020-12-20,3,4.25,2023-04-08
County,51005,White,53,2020-12-27,0,2,2023-04-08
County,51005,White,54,2021-01-03,2,1.5,2023-04-08
County,51005,White,55,2021-01-10,0,1.75,2023-04-08
County,51005,White,56,2021-01-17,2,4.75,2023-04-08
County,51005,White,57,2021-01-24,0,3.75,2023-04-08
County,51005,White,58,2021-01-31,1,4.5,2023-04-08
County,51005,White,59,2021-02-07,0,4.75,2023-04-08
County,51005,White,60,2021-02-14,3,2.75,2023-04-08
County,51005,White,61,2021-02-21,2,7,2023-04-08
County,51005,White,62,2021-02-28,2,5,2023-04-08
County,51005,White,63,2021-03-07,1,2.5,2023-04-08
County,51005,White,64,2021-03-14,4,3.75,2023-04-08
County,51005,White,65,2021-03-21,0,3.75,2023-04-08
County,51005,White,66,2021-03-28,1,2.5,2023-04-08
County,51005,White,67,2021-04-04,2,0.5,2023-04-08
County,51005,White,68,2021-04-11,0,4,2023-04-08
County,51005,White,69,2021-04-18,1,5.5,2023-04-08
County,51005,White,70,2021-04-25,0,3,2023-04-08
County,51005,White,71,2021-05-02,0,4.5,2023-04-08
County,51005,White,72,2021-05-09,3,3.5,2023-04-08
County,51005,White,73,2021-05-16,2,4,2023-04-08
County,51005,White,74,2021-05-23,3,5.75,2023-04-08
County,51005,White,75,2021-05-30,1,3.5,2023-04-08
County,51005,White,76,2021-06-06,1,2.25,2023-04-08
County,51005,White,77,2021-06-13,4,4.75,2023-04-08
County,51005,White,78,2021-06-20,1,4.25,2023-04-08
County,51005,White,79,2021-06-27,2,5.5,2023-04-08
County,51005,White,80,2021-07-04,5,1.5,2023-04-08
County,51005,White,81,2021-07-11,1,4.5,2023-04-08
County,51005,White,82,2021-07-18,2,2.5,2023-04-08
County,51005,White,83,2021-07-25,2,7.25,2023-04-08
County,51005,White,84,2021-08-01,2,2,2023-04-08
County,51005,White,85,2021-08-08,0,3.75,2023-04-08
County,51005,White,86,2021-08-15,1,5,2023-04-08
County,51005,White,87,2021-08-22,4,6.25,2023-04-08
County,51005,White,88,2021-08-29,0,4.75,2023-04-08
County,51005,White,89,2021-09-05,0,2.5,2023-04-08
County,51005,White,90,2021-09-12,4,3.5,2023-04-08
County,51005,White,91,2021-09-19,11,3.25,2023-04-08
County,51005,White,92,2021-09-26,1,5.5,2023-04-08
County,51005,White,93,2021-10-03,5,2,2023-04-08
County,51005,White,94,2021-10-10,3,5.75,2023-04-08
County,51005,White,95,2021-10-17,1,4,2023-04-08
County,51005,White,96,2021-10-24,7,5.5,2023-04-08
County,51005,White,97,2021-10-31,1,4.25,2023-04-08
County,51005,White,98,2021-11-07,4,1.25,2023-04-08
County,51005,White,99,2021-11-14,1,3.75,2023-04-08
County,51005,White,100,2021-11-21,4,5.25,2023-04-08
County,51005,White,101,2021-11-28,2,5.5,2023-04-08
County,51005,White,102,2021-12-05,1,2.75,2023-04-08
County,51005,White,103,2021-12-12,0,3.75,2023-04-08
County,51005,White,104,2021-12-19,0,3,2023-04-08
County,51005,White,105,2021-12-26,0,1.75,2023-04-08
County,51005,White,106,2022-01-02,1,2.75,2023-04-08
County,51005,White,107,2022-01-09,3,2,2023-04-08
County,51005,White,108,2022-01-16,0,4,2023-04-08
County,51005,White,109,2022-01-23,0,4.5,2023-04-08
County,51005,White,110,2022-01-30,7,3,2023-04-08
County,51005,White,111,2022-02-06,2,5.75,2023-04-08
County,51005,White,112,2022-02-13,1,2.5,2023-04-08
County,51005,White,113,2022-02-20,3,6.25,2023-04-08
County,51005,White,114,2022-02-27,15,6,2023-04-08
County,51005,White,115,2022-03-06,2,2.75,2023-04-08
County,51005,White,116,2022-03-13,2,3.75,2023-04-08
County,51005,White,117,2022-03-20,0,3.5,2023-04-08
County,51005,White,118,2022-03-27,2,2.5,2023-04-08
County,51005,White,119,2022-04-03,1,0.75,2023-04-08
County,51005,White,120,2022-04-10,1,4.25,2023-04-08
County,51005,White,121,2022-04-17,4,3.25,2023-04-08
County,51005,White,122,2022-04-24,1,5,2023-04-08
County,51005,White,123,2022-05-01,13,4,2023-04-08
